,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
84047,39.17,105.72,1.32,26.03,14.92,15.16,0.5,6.02,28.65,0.06,1.71,0.04,Moderate
84048,47.55,121.9,2.45,25.27,15.44,19.8,0.64,7.14,31.26,0.11,2.45,0.06,Moderate
84049,48.6,145.51,1.53,22.26,13.09,24.82,0.48,9.47,29.16,0.08,2.47,0.01,Moderate
84050,51.78,145.61,4.14,31.41,20.08,22.64,0.77,11.39,31.59,0.09,2.65,0.07,Moderate
84051,49.07,106.04,1.18,14.64,8.75,27.97,0.49,5.38,39.77,0.05,0.68,0.01,Moderate
84052,41.32,118.86,1.27,20.9,12.14,19.24,0.52,5.24,40.61,0.06,0.97,0.03,Moderate
84054,47.79,116.81,1.49,25.55,14.8,17.13,0.43,4.84,40.94,0.04,0.5,0.01,Moderate
84055,42.1,96.82,1.38,22.7,13.19,21.13,0.47,7.8,38.08,0.11,2.15,0.02,Moderate
84056,49.08,125.29,3.76,32.67,20.43,25.51,0.59,7.28,33.27,0.1,4.25,0.05,Moderate
84057,47.91,136.46,4.79,33.61,21.77,24.83,0.75,9.14,29.27,0.13,4.66,0.07,Moderate
84058,48.81,141.95,2.29,30.86,18.28,49.62,0.51,10.62,28.58,0.13,3.92,0.02,Moderate
84059,45.3,127.03,2.68,25.24,15.6,43.61,0.5,5.97,31.45,0.07,1.28,0.03,Moderate
84060,56.89,142.58,2.17,30.49,17.98,36.32,0.77,6.95,38.16,0.12,2.27,0.06,Moderate
84061,41.43,112.92,1.25,16.73,9.92,25.03,0.41,4.88,46.71,0.02,0.53,0.01,Moderate
84062,50.99,111.41,1.36,25.12,14.47,18.44,0.45,4.31,38.26,0.03,0.42,0.01,Moderate
84063,41.91,112.5,1.94,25.6,15.2,24.44,0.5,6.95,31.84,0.1,1.62,0.02,Moderate
84064,48.96,139.23,3.49,30.08,18.84,19.52,0.52,6.44,31.96,0.09,0.96,0.02,Moderate
84065,29.28,81.43,1.53,23.48,13.73,25.25,0.44,4.9,27.07,0.05,0.75,0.0,Moderate
84066,30.11,68.54,1.47,22.27,13.05,23.86,0.52,8.05,40.13,0.12,1.46,0.0,Satisfactory
84067,42.31,100.19,2.79,34.58,20.65,28.98,0.69,8.48,33.28,0.09,1.92,0.03,Satisfactory
84068,40.02,116.08,1.52,29.29,16.82,22.32,0.42,6.05,40.12,0.07,0.97,0.02,Moderate
84069,32.81,81.16,1.26,19.54,11.42,24.82,0.58,8.29,46.83,0.1,1.63,0.0,Satisfactory
84070,34.81,71.74,1.5,32.78,18.65,20.51,0.66,5.61,39.95,0.05,1.11,0.05,Satisfactory
84071,38.56,86.9,1.48,25.72,14.89,29.98,0.44,11.58,43.21,0.11,2.54,0.22,Satisfactory
84072,26.8,67.57,1.35,26.16,15.01,21.87,0.4,8.46,37.98,0.12,0.65,0.0,Satisfactory
84073,13.58,55.05,1.69,25.24,14.8,14.66,0.31,7.43,27.4,0.02,0.24,0.0,Satisfactory
84074,10.29,47.9,1.49,19.45,11.55,12.34,0.21,12.49,24.43,0.0,0.21,0.0,Good
84075,16.45,38.77,1.82,21.54,12.94,28.68,0.22,11.44,19.51,0.06,0.79,0.0,Good
84076,20.54,52.9,1.64,19.59,11.76,13.71,0.26,10.07,18.92,0.01,0.36,0.0,Good
84077,28.97,77.77,2.44,23.3,14.38,19.93,0.22,7.93,16.03,0.08,1.02,0.03,Satisfactory
84078,31.56,92.25,1.85,18.34,11.25,30.94,0.5,8.02,18.69,0.2,2.0,0.0,Satisfactory
84079,36.16,94.19,2.47,22.1,13.76,41.15,0.33,11.78,14.17,0.24,2.88,0.01,Satisfactory
84080,33.6,75.54,1.97,17.5,10.92,81.26,0.27,8.29,15.09,0.33,3.77,0.0,Satisfactory
84081,29.83,74.75,1.9,18.32,11.29,21.8,0.31,14.17,16.47,0.09,0.94,0.0,Satisfactory
84082,29.34,72.35,1.69,17.14,10.49,34.43,0.21,10.65,19.34,0.09,1.41,0.0,Satisfactory
84083,37.62,73.44,1.6,21.51,12.74,15.83,0.37,6.37,25.24,0.07,1.16,0.02,Satisfactory
84084,37.38,54.95,1.68,23.89,14.07,29.68,0.23,7.34,25.55,0.13,2.49,0.0,Satisfactory
84085,40.8,63.78,2.95,26.27,16.37,17.55,0.5,9.95,19.9,0.11,1.87,0.05,Satisfactory
84086,39.39,65.23,2.2,25.01,15.09,17.84,0.53,7.81,25.83,0.09,1.62,0.02,Satisfactory
84087,43.31,81.94,3.45,28.86,18.16,14.54,0.56,8.27,24.54,0.1,1.56,0.04,Satisfactory
84088,26.92,54.38,2.53,22.32,13.93,28.07,0.21,7.89,18.58,0.1,1.35,0.02,Satisfactory
84089,16.84,44.65,2.14,26.64,15.91,16.28,0.1,9.09,13.91,0.11,0.79,0.01,Good
84090,17.0,32.0,2.45,39.78,23.12,10.73,0.26,9.22,11.43,0.0,0.12,0.0,Good
84092,33.55,67.38,3.72,42.83,25.8,48.33,0.28,11.12,12.56,0.35,3.07,0.0,Satisfactory
84093,36.46,89.88,5.48,44.64,28.2,64.97,0.29,11.21,10.25,0.42,2.92,0.01,Satisfactory
84094,24.44,54.61,3.71,40.06,24.34,40.87,0.26,5.58,12.83,0.32,1.37,0.0,Satisfactory
84096,23.86,55.58,3.09,37.01,22.19,16.47,0.25,8.66,11.75,0.05,0.82,0.01,Satisfactory
84097,22.36,45.05,3.79,38.66,23.64,13.09,0.24,6.25,9.85,0.05,0.67,0.01,Good
84101,19.67,41.96,4.22,36.79,23.0,10.72,0.22,7.14,8.64,0.03,0.33,0.0,Satisfactory
84103,25.12,57.6,4.17,29.87,19.28,23.27,0.29,15.02,17.17,0.08,1.52,0.0,Satisfactory
84104,30.27,67.25,6.14,28.21,20.01,48.03,0.41,38.06,19.19,0.07,0.98,0.02,Satisfactory
84105,24.75,58.62,6.24,18.41,14.86,36.55,0.3,54.1,17.05,0.1,1.21,0.0,Satisfactory
84108,31.46,102.38,5.75,20.94,15.79,22.55,0.35,41.98,22.74,0.06,1.79,1.33,Satisfactory
84109,29.4,91.75,6.14,22.83,17.12,24.55,0.3,39.08,25.54,0.06,1.59,0.02,Satisfactory
84110,33.83,106.39,5.03,21.46,15.51,48.42,0.33,37.47,31.22,0.13,5.0,0.02,Satisfactory
84111,51.48,119.77,4.32,25.83,17.25,39.69,0.43,34.09,31.89,0.04,2.45,0.03,Moderate
84112,35.24,63.81,2.94,22.43,14.31,43.48,0.41,13.91,30.33,0.0,0.78,0.03,Satisfactory
84113,22.4,66.22,3.25,19.96,13.26,25.83,0.39,14.29,27.4,0.0,0.2,0.08,Satisfactory
84114,15.65,61.76,4.79,20.17,14.63,20.1,0.42,13.5,25.47,0.0,0.45,0.06,Satisfactory
84115,9.15,51.11,2.22,13.86,9.18,16.38,0.24,15.72,27.34,0.01,0.23,0.29,Satisfactory
84116,14.28,63.19,4.31,17.45,12.8,18.22,0.27,21.94,25.83,0.01,0.32,0.21,Satisfactory
84117,19.59,69.83,9.65,26.53,18.06,39.81,0.31,27.13,21.8,0.05,2.39,0.14,Satisfactory
84118,25.74,79.8,6.51,30.72,21.27,69.5,0.37,41.05,18.47,0.16,2.52,0.03,Satisfactory
84119,18.65,58.78,3.84,19.48,12.76,23.68,0.24,18.87,20.61,0.03,0.58,0.01,Good
84120,14.58,38.28,3.57,22.17,14.7,19.11,0.22,14.33,18.09,0.01,0.43,0.0,Good
84122,12.14,23.61,3.45,18.1,12.43,18.83,0.23,18.98,21.23,0.01,0.36,0.02,Good
84123,17.96,41.22,4.89,19.34,14.26,24.87,0.27,35.93,18.98,0.03,1.26,0.01,Good
84124,17.56,33.49,6.33,32.66,21.18,12.49,0.24,23.51,17.05,0.0,0.62,0.0,Good
84125,14.62,21.89,4.9,20.41,14.84,4.07,0.25,17.31,15.65,0.01,0.25,0.01,Good
84128,13.61,25.24,2.89,10.64,7.77,10.27,0.24,18.62,21.54,0.02,0.45,0.0,Good
84129,14.47,30.68,4.13,17.58,12.71,17.62,0.27,18.6,17.83,0.02,0.56,0.01,Good
84130,13.5,24.38,5.17,32.47,21.47,16.69,0.35,21.62,14.72,0.04,0.51,0.0,Good
84131,11.34,35.79,3.49,43.22,25.82,9.74,0.14,16.87,18.44,0.0,0.34,0.0,Good
84132,11.29,48.96,1.29,19.81,11.58,9.03,0.31,43.6,25.07,0.01,0.08,0.42,Good
84133,13.04,52.1,1.84,33.65,19.36,14.38,0.38,29.67,24.21,0.03,1.02,0.2,Satisfactory
84134,20.99,72.24,4.25,40.07,24.75,31.02,0.32,39.8,22.5,0.22,1.4,0.11,Satisfactory
84135,42.05,126.64,7.96,43.54,29.62,34.71,0.42,54.32,19.97,0.22,3.61,0.06,Moderate
84136,38.97,109.88,12.34,59.23,41.5,33.96,0.48,38.33,17.62,0.12,4.38,0.07,Moderate
84137,28.09,93.12,9.25,49.01,33.43,31.83,0.46,39.56,22.45,0.07,1.3,0.06,Satisfactory
84138,24.41,85.14,5.64,36.19,23.85,30.66,0.31,53.25,22.41,0.15,2.43,0.02,Satisfactory
84139,24.38,82.35,5.31,39.82,25.28,28.8,0.34,35.25,21.42,0.08,2.39,0.04,Satisfactory
84140,31.72,108.55,6.58,39.0,25.8,33.74,0.39,31.84,22.69,0.11,3.28,0.04,Moderate
84141,36.35,114.81,8.32,50.38,33.23,25.41,0.5,22.82,18.34,0.04,2.82,0.04,Moderate
84142,31.15,97.27,11.45,56.61,39.41,46.78,0.53,30.5,18.76,0.05,1.54,0.02,Moderate
84143,49.55,127.24,16.32,56.68,43.37,35.93,0.57,35.66,18.16,0.06,4.41,0.07,Moderate
84144,46.11,126.8,7.71,31.77,23.0,41.31,0.43,46.21,21.26,0.04,4.84,0.02,Moderate
84145,35.98,105.32,3.97,20.72,14.21,79.51,0.37,38.28,23.73,0.12,3.76,0.03,Moderate
84146,41.19,108.84,6.65,27.33,19.95,74.38,0.46,42.73,19.59,0.16,4.14,0.05,Moderate
84147,26.18,86.14,4.98,22.83,16.15,80.49,0.36,42.03,22.96,0.44,3.81,0.01,Satisfactory
84148,22.77,60.9,2.51,20.43,12.9,51.13,0.35,28.64,26.74,0.15,1.85,0.01,Satisfactory
84149,23.76,84.22,3.84,25.11,16.45,33.84,0.37,26.15,24.31,0.07,1.02,0.03,Satisfactory
84150,23.86,94.45,2.7,24.57,15.21,33.53,0.34,30.64,29.25,0.12,0.87,0.01,Satisfactory
84151,25.05,85.27,2.8,25.05,15.59,24.0,0.32,32.11,30.96,0.18,0.66,0.01,Satisfactory
84152,20.01,73.41,4.4,23.56,15.93,22.51,0.34,18.05,25.29,0.14,0.63,0.0,Satisfactory
84153,27.43,58.71,3.55,21.48,14.28,47.51,0.35,26.94,22.35,0.13,1.89,0.02,Satisfactory
84154,19.25,42.53,3.36,22.8,14.85,47.61,0.31,22.11,19.7,0.1,1.17,0.0,Good
84155,18.01,31.99,2.97,21.48,13.84,33.89,0.31,22.79,17.95,0.06,0.66,0.0,Good
84156,26.32,55.47,4.83,18.49,13.76,71.12,0.34,34.27,17.82,0.17,1.96,0.01,Good
84157,23.36,47.61,4.59,20.48,14.63,69.97,0.35,32.84,17.55,0.89,2.73,0.02,Satisfactory
84158,16.6,33.33,2.95,17.84,11.89,33.3,0.34,26.15,18.75,0.16,0.94,0.02,Good
84159,11.03,27.62,3.13,23.07,14.81,19.44,0.29,28.08,20.14,0.08,0.74,0.02,Good
84160,11.82,31.92,3.03,17.79,11.93,40.08,0.3,27.2,18.55,0.12,1.02,0.06,Good
84161,13.77,34.23,4.01,20.79,14.32,31.17,0.28,25.48,16.54,0.08,0.8,0.01,Good
84162,10.15,29.69,2.17,18.44,11.57,20.78,0.27,29.64,19.81,0.02,0.26,0.0,Good
84163,11.88,34.75,3.42,23.62,15.34,23.08,0.3,36.7,17.98,0.03,0.44,0.03,Good
84164,13.2,51.15,2.8,22.4,14.19,13.68,0.3,25.14,20.04,0.03,1.0,0.19,Good
84165,16.0,62.16,3.87,28.71,18.4,28.41,0.31,19.89,19.84,0.07,0.43,0.02,Satisfactory
84166,27.52,88.29,5.44,24.1,17.24,49.51,0.4,36.96,17.32,0.15,2.41,0.01,Satisfactory
84167,15.61,53.02,2.27,16.62,10.65,22.12,0.31,43.7,20.22,0.07,0.41,0.02,Satisfactory
84168,19.11,65.35,4.39,20.91,14.7,39.76,0.33,27.32,21.93,0.1,1.25,0.0,Satisfactory
84169,32.63,80.45,4.83,26.63,18.09,46.98,0.47,32.24,23.94,0.12,3.77,0.03,Satisfactory
84170,42.6,106.33,6.79,22.95,17.67,27.44,0.52,46.48,22.0,0.07,2.6,0.03,Satisfactory
84171,42.91,102.07,4.92,21.94,15.6,39.11,0.39,32.78,20.7,0.05,2.56,0.02,Moderate
84172,32.03,72.62,5.54,29.2,20.02,33.25,0.55,14.23,32.35,0.04,1.91,0.01,Satisfactory
84173,23.61,50.77,5.48,24.19,17.11,21.5,0.59,5.01,25.98,0.01,0.48,0.04,Satisfactory
84174,18.81,39.33,6.39,29.31,20.75,21.28,0.58,18.98,21.24,0.02,0.83,0.03,Satisfactory
84175,27.45,73.09,10.49,24.6,21.59,21.45,0.64,40.79,25.26,0.05,1.02,0.05,Satisfactory
84176,24.62,53.92,1.78,21.63,12.8,22.26,0.48,5.59,31.31,0.04,1.14,0.02,Satisfactory
84177,32.27,63.5,5.11,30.37,20.27,19.0,0.7,9.35,25.63,0.04,1.75,0.04,Satisfactory
84178,27.76,43.86,3.8,26.99,17.4,22.74,0.57,6.12,29.59,0.03,1.36,0.02,Satisfactory
84179,31.62,53.65,3.13,23.61,14.99,20.39,0.48,3.36,27.95,0.01,0.38,0.0,Good
84180,16.62,34.33,2.37,16.22,10.53,14.91,0.41,2.17,23.05,0.01,0.27,0.01,Good
84181,20.05,49.35,6.42,22.54,17.2,16.77,0.46,16.0,18.65,0.03,0.72,0.02,Good
84182,29.29,68.03,3.35,23.93,15.45,25.25,0.53,17.96,24.23,0.12,1.17,0.06,Satisfactory
84183,34.35,87.01,5.11,29.41,19.74,15.1,0.76,5.04,20.84,0.02,0.78,0.07,Satisfactory
84184,27.9,48.06,5.24,32.03,21.27,17.5,0.92,3.62,21.11,0.04,0.91,0.05,Satisfactory
84186,26.71,70.06,1.38,19.48,11.45,20.41,0.44,11.69,27.6,0.03,0.73,0.01,Satisfactory
84187,32.38,99.84,5.56,32.54,21.79,21.17,0.53,8.44,24.97,0.03,1.68,0.03,Satisfactory
84188,43.48,97.45,5.44,30.26,20.46,32.74,0.53,37.79,31.43,0.1,3.04,0.05,Moderate
84189,33.8,76.61,2.28,27.65,16.53,29.23,0.41,21.11,29.38,0.09,2.53,0.03,Satisfactory
84190,47.84,91.26,7.29,36.0,24.73,35.51,0.71,15.5,30.71,0.1,2.46,0.03,Satisfactory
84191,48.5,90.98,3.96,24.77,16.11,28.96,0.52,15.4,37.43,0.08,2.83,0.0,Satisfactory
84192,51.68,71.48,0.85,16.99,9.47,26.3,0.48,7.15,37.68,0.02,0.86,0.01,Satisfactory
84193,52.62,72.12,1.84,26.47,15.35,26.2,0.73,8.82,32.34,0.06,1.16,0.05,Satisfactory
84194,32.3,51.9,3.27,28.45,17.61,21.38,0.61,7.92,30.51,0.05,1.88,0.02,Satisfactory
84195,30.64,54.96,1.5,20.59,12.02,23.03,0.51,10.75,42.35,0.05,1.8,0.02,Satisfactory
84196,28.86,68.24,0.98,24.07,13.54,20.78,0.52,9.02,44.97,0.02,1.3,0.02,Satisfactory
84197,24.74,53.62,0.95,20.31,11.35,17.94,0.48,6.19,37.5,0.02,0.79,0.0,Satisfactory
84198,39.46,62.52,0.78,17.59,9.88,20.19,0.43,11.53,35.29,0.0,0.2,0.0,Satisfactory
84199,43.96,91.02,1.22,20.8,12.0,18.92,0.47,7.16,34.89,0.02,0.49,0.0,Satisfactory
84200,45.0,65.66,1.22,18.79,10.81,18.42,0.5,4.39,45.33,0.01,0.46,0.0,Satisfactory
84201,39.83,81.38,3.34,22.45,14.63,16.53,0.52,4.38,30.68,0.04,0.96,0.01,Satisfactory
84202,17.63,54.03,1.22,19.23,11.16,15.32,0.44,2.65,25.06,0.01,0.69,0.02,Satisfactory
84203,17.03,62.69,1.4,19.13,11.28,14.32,0.46,2.92,31.78,0.02,0.6,0.01,Satisfactory
84204,20.28,50.95,1.72,21.41,12.77,16.29,0.52,4.4,27.95,0.04,0.87,0.02,Satisfactory
84205,15.02,51.16,2.43,19.99,12.56,15.05,0.43,2.14,30.42,0.03,0.23,0.0,Good
84206,36.99,78.42,6.76,32.76,22.93,22.01,0.67,7.9,20.79,0.07,1.41,0.08,Satisfactory
84207,43.83,94.62,4.96,23.55,16.52,25.46,0.54,13.16,21.25,0.08,4.01,0.04,Satisfactory
84208,21.73,57.96,5.6,27.37,19.08,42.08,0.48,34.02,17.25,0.06,1.75,0.02,Satisfactory
84209,34.06,92.05,5.84,26.84,19.02,26.5,0.52,12.54,20.3,0.06,2.82,0.02,Satisfactory
84210,15.97,63.42,4.12,21.45,14.76,18.54,0.47,2.64,21.47,0.02,0.35,0.01,Satisfactory
84211,27.83,69.59,2.89,18.66,12.24,22.64,0.46,8.4,27.22,0.03,0.56,0.01,Satisfactory
84212,50.5,107.91,2.85,23.22,14.66,20.84,0.55,7.1,28.03,0.03,0.67,0.0,Satisfactory
84213,35.9,69.83,2.53,27.07,16.38,20.41,0.61,4.18,25.0,0.02,0.74,0.02,Satisfactory
84214,33.53,66.8,4.59,28.6,18.96,18.71,0.64,3.6,24.66,0.03,0.89,0.01,Satisfactory
84215,16.06,57.86,2.36,19.57,12.29,15.81,0.42,2.59,25.46,0.0,0.52,0.01,Satisfactory
84216,18.02,65.11,3.27,19.58,13.05,15.69,0.44,2.4,24.53,0.02,0.66,0.0,Satisfactory
84217,27.47,79.61,3.46,25.37,16.17,15.64,0.53,3.49,27.93,0.04,0.66,0.01,Satisfactory
84218,30.79,86.66,2.04,22.8,13.71,17.09,0.48,5.24,29.38,0.04,0.75,0.0,Satisfactory
84219,56.23,125.09,4.74,27.26,17.86,26.81,0.49,19.88,36.98,0.03,1.3,0.0,Moderate
84220,75.08,157.85,7.01,41.45,27.53,41.34,0.64,36.57,38.65,0.0,0.0,0.0,Moderate
84221,72.27,152.51,11.41,45.05,32.77,33.34,0.87,23.3,37.97,0.0,0.0,0.0,Moderate
84222,67.94,138.16,3.35,34.2,20.85,23.33,0.64,11.57,40.51,0.0,0.0,0.0,Moderate
84223,71.7,125.72,1.52,29.28,16.55,25.93,0.56,12.98,39.72,0.0,0.0,0.0,Moderate
84224,78.07,156.38,2.49,31.8,18.74,32.63,0.63,26.15,46.09,0.0,0.0,0.0,Moderate
84225,65.16,115.91,0.48,22.34,12.1,20.95,0.46,25.61,59.96,0.0,0.0,0.0,Moderate
84226,58.01,118.43,3.17,30.03,18.48,18.58,0.55,9.44,40.23,0.0,0.0,0.0,Moderate
84227,50.86,100.2,0.69,22.33,12.23,17.32,0.39,13.54,41.19,0.0,0.0,0.0,Moderate
84228,58.3,122.23,1.19,30.87,17.2,15.47,0.5,7.95,45.77,0.0,0.0,0.0,Moderate
84229,67.22,126.93,1.33,28.8,16.2,18.8,0.56,5.3,46.14,0.2,3.53,0.02,Moderate
84230,70.1,140.74,2.27,33.87,19.69,18.66,0.63,6.64,42.3,0.37,6.24,0.1,Moderate
84231,63.77,136.56,1.44,30.29,17.09,18.61,0.53,9.44,42.72,0.35,6.36,0.08,Moderate
84232,65.9,119.05,1.01,23.67,13.15,18.06,0.47,19.25,52.17,0.22,2.56,0.01,Moderate
84233,75.0,147.77,1.3,30.23,16.98,17.58,0.53,19.93,64.01,0.2,0.98,0.05,Moderate
84234,78.56,161.58,1.9,30.59,17.54,20.52,0.6,18.34,62.02,0.23,2.48,0.02,Moderate
84235,78.75,172.92,0.71,37.31,20.23,24.09,0.7,15.45,41.18,0.68,12.86,0.05,Moderate
84238,71.61,147.34,2.62,45.91,26.45,20.55,0.68,14.08,35.85,0.3,6.05,0.15,Moderate
84239,76.66,145.77,2.51,38.25,22.2,24.2,0.69,9.82,44.93,0.63,8.65,0.08,Moderate
84240,77.64,164.09,1.18,37.14,20.62,25.47,0.69,7.31,49.32,0.29,5.42,0.1,Moderate
84241,77.49,156.94,1.53,35.95,20.23,22.99,0.69,5.57,41.47,0.28,4.05,0.07,Moderate
84242,72.17,143.35,1.62,35.82,20.26,19.96,0.66,5.54,36.3,0.31,4.7,0.11,Moderate
84243,76.14,151.52,1.7,37.76,21.39,23.95,0.65,7.51,36.84,0.34,6.39,0.08,Moderate
84244,64.38,122.42,1.4,35.77,20.1,22.13,0.65,3.62,34.38,0.31,3.95,0.09,Moderate
84245,63.29,135.84,5.23,43.85,27.48,21.83,0.67,5.85,29.0,0.28,7.4,0.07,Moderate
84246,58.56,104.02,1.12,23.58,13.34,21.2,0.5,3.21,38.39,0.18,2.24,0.06,Moderate
84247,46.07,75.76,1.78,24.75,14.48,19.27,0.42,3.04,28.01,0.18,1.91,0.03,Satisfactory
84248,47.35,81.97,2.81,33.93,20.28,18.34,0.52,3.34,27.81,0.17,2.22,0.06,Satisfactory
84249,75.41,134.28,1.28,32.2,18.04,21.51,0.66,3.55,38.42,0.2,2.4,0.07,Moderate
84250,77.46,156.84,2.63,43.85,25.42,21.23,0.69,6.58,33.78,0.29,5.53,0.08,Moderate
84251,79.94,166.02,1.62,38.46,21.64,20.51,0.62,7.45,38.65,0.26,5.15,0.05,Moderate
84252,79.04,162.93,3.34,42.49,25.13,20.95,0.74,5.95,41.08,0.31,6.11,0.08,Moderate
84253,67.84,123.46,0.99,31.22,17.33,21.4,0.64,4.33,33.66,0.25,5.51,0.06,Moderate
84254,56.61,116.84,1.5,31.84,18.04,21.39,0.58,3.76,30.23,0.22,6.01,0.04,Moderate
84255,54.94,120.92,3.08,36.98,21.96,20.26,0.59,4.87,30.11,0.26,5.36,0.07,Moderate
84256,67.39,132.05,4.94,43.4,26.87,20.69,0.74,4.79,33.69,0.29,4.2,0.12,Moderate
84257,64.54,128.45,3.2,42.72,25.27,19.67,0.61,4.28,30.43,0.29,3.9,0.1,Moderate
84258,36.11,84.5,2.53,31.28,18.63,17.43,0.49,5.22,32.73,0.17,1.93,0.05,Satisfactory
84259,43.5,87.96,1.62,27.27,15.78,18.98,0.49,2.3,31.68,0.17,2.21,0.03,Satisfactory
84260,46.08,90.31,1.67,26.84,15.53,18.44,0.5,2.65,31.85,0.19,2.02,0.03,Satisfactory
84261,52.64,103.56,1.27,34.1,19.09,19.56,0.57,4.38,31.62,0.27,4.99,0.07,Satisfactory
84262,65.62,131.66,2.14,34.39,19.88,22.66,0.56,5.13,30.26,0.33,8.47,0.05,Moderate
84263,71.83,139.54,2.21,38.6,22.29,22.36,0.6,5.24,31.49,0.32,3.82,0.05,Moderate
84264,75.0,154.81,1.69,39.25,22.12,23.61,0.69,6.92,29.48,0.39,7.48,0.06,Moderate
84265,73.32,146.28,2.43,41.39,23.63,22.31,0.62,9.05,35.91,0.39,5.89,0.07,Moderate
84266,77.69,151.26,0.95,31.39,17.3,22.33,0.58,7.49,39.73,0.34,4.28,0.07,Moderate
84267,75.14,140.22,1.21,34.06,19.0,22.72,0.62,5.41,32.46,0.27,3.37,0.04,Moderate
84268,72.92,141.79,1.63,35.38,20.07,21.97,0.6,4.8,33.96,0.3,4.54,0.08,Moderate
84269,64.29,111.95,1.42,29.72,16.83,20.7,0.54,3.92,35.76,0.25,3.84,0.04,Moderate
84270,74.49,119.24,0.68,24.34,13.33,21.08,0.61,2.85,38.97,0.27,2.56,0.04,Moderate
84271,65.22,99.94,0.83,30.56,16.79,19.64,0.59,3.67,25.79,0.27,1.84,0.07,Moderate
84277,41.8,61.65,0.53,17.25,9.44,18.68,0.5,1.81,31.67,0.15,0.77,0.01,Satisfactory
84278,30.09,58.51,1.58,21.02,12.31,18.38,0.46,1.94,25.58,0.15,1.3,0.02,Satisfactory
84279,31.89,60.44,1.69,19.49,11.34,19.19,0.47,4.64,25.55,0.29,1.28,0.01,Satisfactory
84280,52.91,84.9,1.31,19.22,10.92,20.18,0.46,4.04,31.55,0.25,1.07,0.0,Satisfactory
84281,60.67,90.88,1.95,23.56,13.74,18.92,0.42,20.63,32.02,0.11,0.31,0.0,Satisfactory
84282,54.03,92.12,1.43,29.98,16.89,15.85,0.5,10.94,30.13,0.14,0.7,0.02,Moderate
84283,55.24,93.15,1.81,26.27,15.21,17.68,0.54,2.52,29.74,0.18,0.9,0.02,Satisfactory
84284,41.7,87.49,2.05,24.48,14.48,16.79,0.48,6.12,26.49,0.14,0.67,0.03,Satisfactory
84285,48.93,90.1,2.33,25.32,15.13,32.02,0.5,4.81,21.6,0.33,2.03,0.03,Satisfactory
84286,75.01,115.32,0.82,19.51,10.85,27.05,0.48,6.61,31.85,0.12,0.87,0.04,Moderate
84287,73.67,128.41,1.63,31.91,18.11,20.1,0.54,15.53,32.21,0.16,0.86,0.02,Moderate
84288,64.45,115.22,0.82,30.11,16.34,18.22,0.53,18.68,38.52,0.17,1.05,0.0,Moderate
84289,66.39,133.45,6.33,42.83,27.54,19.85,0.65,16.8,37.08,0.41,2.18,0.03,Moderate
84290,76.94,131.96,2.79,38.53,22.54,31.32,0.77,8.38,47.13,0.5,2.84,0.03,Moderate
84291,54.03,76.19,0.56,15.26,8.25,25.44,0.4,4.31,38.04,0.14,0.83,0.0,Moderate
84292,38.25,59.04,0.58,17.39,9.48,20.49,0.37,4.83,34.86,0.1,0.72,0.0,Satisfactory
84293,31.96,62.77,0.95,20.65,11.51,17.94,0.36,4.41,28.7,0.11,0.93,0.01,Satisfactory
84294,32.36,61.61,0.95,19.35,10.89,18.97,0.37,4.32,29.56,0.12,0.96,0.0,Satisfactory
84295,36.08,73.07,1.4,22.49,12.79,18.57,0.44,5.98,29.75,0.15,1.12,0.0,Satisfactory
84296,42.17,84.76,1.67,23.98,13.92,21.48,0.43,4.82,30.65,0.14,0.96,0.0,Satisfactory
84297,38.01,89.56,1.52,24.43,14.11,20.17,0.4,4.83,31.59,0.12,1.61,0.03,Satisfactory
84298,43.21,82.32,0.97,25.34,14.16,21.46,0.48,5.76,30.04,0.17,1.59,0.03,Satisfactory
84299,57.82,113.48,3.12,38.15,22.74,21.78,0.54,6.29,27.68,0.22,3.61,0.07,Moderate
84300,61.04,128.3,2.66,39.94,23.37,25.13,0.57,9.24,28.03,0.38,5.95,0.07,Moderate
84301,63.57,133.6,1.47,36.34,20.38,28.42,0.59,12.22,32.3,0.26,6.3,0.04,Moderate
84302,63.54,133.59,4.82,41.21,25.48,27.62,0.6,9.25,31.62,0.28,2.75,0.08,Moderate
84303,59.18,127.21,18.95,37.99,35.34,28.73,0.6,13.28,37.85,0.22,1.78,0.03,Moderate
84304,55.66,130.52,1.22,33.8,18.86,38.02,0.5,15.98,32.27,0.3,1.83,0.05,Moderate
84305,65.51,153.12,4.81,41.42,25.16,43.58,0.6,26.57,28.71,0.53,12.15,0.1,Moderate
84306,67.86,134.7,2.25,25.67,15.07,35.45,0.57,13.61,35.91,0.22,2.27,0.0,Moderate
84307,66.16,128.09,1.89,32.37,18.75,26.28,0.45,15.73,26.98,0.14,0.8,0.0,Moderate
84313,33.32,104.91,2.85,28.36,17.38,19.36,0.39,5.54,22.38,0.17,1.42,0.04,Moderate
84314,30.54,109.76,1.68,23.8,14.04,20.9,0.31,5.54,23.99,0.12,0.77,0.02,Moderate
84315,36.97,90.96,2.41,24.13,14.54,23.14,0.43,6.06,21.0,0.12,1.06,0.02,Satisfactory
84316,34.72,51.72,1.33,17.09,10.11,21.01,0.4,5.88,17.95,0.14,1.06,0.01,Satisfactory
